key,rank,score,title,year,doi,venue,type,authors,found_via,providers,parent_keys,unresolved
doi:10.1016/j.bushor.2013.06.002,32,0.000000,"All pain, no gain? Why adopting sales force automation tools is insufficient for performance improvement",2013,10.1016/j.bushor.2013.06.002,Business Horizons,article,"Jelinek, Ronald",backward,crossref|openalex,doi:10.1080/08853134.2018.1557525,0
doi:10.1016/j.bushor.2014.09.009,33,0.000000,Social media and related technology: Drivers of change in managing the contemporary sales force,2014,10.1016/j.bushor.2014.09.009,Business Horizons,article,"Moncrief, William C.; Marshall, Greg W.; Rudd, John M.",backward,crossref|openalex,doi:10.1016/j.indmarman.2017.06.012|doi:10.1080/08853134.2017.1352449,0
doi:10.1016/j.bushor.2019.11.003,34,0.000000,Artificial intelligence and machine learning as business tools: A framework for diagnosing value destruction potential,2019,10.1016/j.bushor.2019.11.003,Business Horizons,article,"Canhoto, Ana Isabel; Clear, Fintan",backward,crossref|openalex,doi:10.1016/j.bushor.2020.01.003,0
doi:10.1016/j.bushor.2019.12.002,35,0.000000,From data to action: How marketers can leverage AI,2019,10.1016/j.bushor.2019.12.002,Business Horizons,article,"Campbell, Colin; Sands, Sean; Ferraro, Carla; Tsao, Hsiu‐Yuan; Mavrommatis, Alexis",backward,crossref|openalex,doi:10.1016/j.bushor.2020.01.003,0
doi:10.1016/j.bushor.2020.01.003,36,0.000000,Collaborative intelligence: How human and artificial intelligence create value along the B2B sales funnel,2020,10.1016/j.bushor.2020.01.003,Business Horizons,article,"Paschen, Jeannette; Wilson, Matthew; Ferreira, João J.",backward,crossref|openalex,doi:10.1016/j.bushor.2019.12.002|doi:10.1016/j.indmarman.2021.08.006,0
doi:10.1016/j.ibusrev.2020.101776,37,0.000000,"The integrated use of social media, digital, and traditional communication tools in the B2B sales process of international SMEs",2020,10.1016/j.ibusrev.2020.101776,International Business Review,article,"Fraccastoro, Sara; Gabrielsson, Mika; Pullins, Ellen Bolman",backward,crossref|openalex,doi:10.1016/j.indmarman.2021.08.006,0
doi:10.1016/j.ijinfomgt.2012.04.001,38,0.000000,"Cloud computing as an innovation: Percepetion, attitude, and adoption",2012,10.1016/j.ijinfomgt.2012.04.001,International Journal of Information Management,article,"Lin, Angela; Chen, Nan-Chou",backward,crossref|openalex,doi:10.1016/j.im.2014.03.006,0
doi:10.1016/j.ijresmar.2007.09.003,39,0.000000,Why sales reps should welcome information technology: Measuring the impact of CRM-based IT on sales effectiveness,2007,10.1016/j.ijresmar.2007.09.003,International Journal of Research in Marketing,article,"Ahearne, Michael; Hughes, Douglas E.; Schillewaert, Niels",backward,crossref|openalex,doi:10.1016/j.ijresmar.2009.03.006|doi:10.1016/j.indmarman.2014.06.013|doi:10.1016/j.indmarman.2015.07.002|doi:10.1016/j.jbusres.2011.05.005|doi:10.1016/j.jbusres.2013.05.002|doi:10.1080/08853134.2018.1557525|doi:10.1080/1051712x.2011.574252|doi:10.1108/jbim-01-2015-0001|doi:10.1108/jrim-12-2014-0075|doi:10.1177/1094670516679273|doi:10.2753/mtp1069-6679190204|doi:10.2753/pss0885-3134320304|doi:10.2753/pss0885-3134330205,0
doi:10.1016/j.ijresmar.2009.03.006,40,0.000000,"Becker, J.U., Greve, G. and Albers, S. (2009), “The impact of technological and organizational implementation of CRM on customer acquisition, maintenance, and retention”, International Journal of Research in Marketing, Vol. 26, pp. 207‐15.",,10.1016/j.ijresmar.2009.03.006,,,,backward,crossref,doi:10.1108/14637151211232641,0
doi:10.1016/j.im.2010.05.001,41,0.000000,Determinants of RFID adoption intention: Evidence from Taiwanese retail chains,2010,10.1016/j.im.2010.05.001,Information & Management,article,"Tsai, Ming‐Chih; Lee, Wen; Wu, Hsin‐Chieh",backward,crossref|openalex,doi:10.1016/j.im.2014.03.006,0
doi:10.1016/j.im.2012.09.005,42,0.000000,The effect of CRM use on internal sales management control: An alternative mechanism to realize CRM benefits,2012,10.1016/j.im.2012.09.005,Information & Management,article,"Li, Liang; Mao, Ji‐Ye",backward,crossref|openalex,doi:10.1016/j.reimke.2015.07.001,0
doi:10.1016/j.im.2013.04.007,43,0.000000,Examining the role of information technology in cultivating firms’ dynamic marketing capabilities,2013,10.1016/j.im.2013.04.007,Information & Management,article,"Wang, Eric T.G.; Hu, Han-fen; Hu, Paul Jen‐Hwa",backward,crossref|openalex,doi:10.1108/jbim-09-2019-0407,0
doi:10.1016/j.im.2014.03.006,44,0.000000,Assessing the determinants of cloud computing adoption: An analysis of the manufacturing and services sectors,2014,10.1016/j.im.2014.03.006,Information & Management,article,"Oliveira, Tiago; Thomas, Manoj A.; Espadanal, Mariana",backward,crossref|openalex,doi:10.1016/j.indmarman.2019.09.001,0
doi:10.1016/j.indmarman.2003.08.014,45,0.000000,"Sales force obsolescence: Perceptions from sales and marketing executives of individual, organizational, and environmental factors",2003,10.1016/j.indmarman.2003.08.014,Industrial Marketing Management,article,"Jones, Eli; Chonko, Lawrence B.; Roberts, James A.",backward,crossref|openalex,doi:10.1016/j.indmarman.2013.08.005,0
doi:10.1016/j.indmarman.2004.09.011,46,0.000000,Sales technology within the salesperson's relationships: A research agenda,2005,10.1016/j.indmarman.2004.09.011,Industrial Marketing Management,article,"Tanner, John F.; Shipp, S.",backward,crossref|openalex,doi:10.1016/j.indmarman.2004.09.012|doi:10.1016/j.indmarman.2013.08.005|doi:10.1016/j.indmarman.2015.07.002|doi:10.1108/jrim-04-2015-0027|doi:10.1108/jsit-09-2014-0068|doi:10.1300/j366v06n02_06|doi:10.2753/mtp1069-6679190204|doi:10.2753/pss0885-3134280205,0
doi:10.1016/j.indmarman.2004.09.012,47,0.000000,Impediments to sales force automation,2005,10.1016/j.indmarman.2004.09.012,Industrial Marketing Management,article,"Honeycutt, Earl D.; Thelen, Tanya; Thelen, Shawn T.; Hodge, Sharon K.",backward,crossref|openalex,doi:10.1016/j.indmarman.2005.10.002|doi:10.1016/j.indmarman.2008.04.004|doi:10.1108/08858620710722824|doi:10.1108/jrim-12-2014-0075|doi:10.1300/j366v06n02_06|doi:10.2753/mtp1069-6679190204|doi:10.2753/pss0885-3134280401,0
doi:10.1016/j.indmarman.2004.09.013,48,0.000000,The adoption of information technology in the sales force,2005,10.1016/j.indmarman.2004.09.013,Industrial Marketing Management,article,"Schillewaert, Niels; Ahearne, Michael; Frambach, R.T.; Moenaert, Rudy",backward,crossref|openalex,doi:10.1007/s11747-009-0157-x|doi:10.1016/j.ijresmar.2007.09.003|doi:10.1016/j.indmarman.2004.09.012|doi:10.1016/j.indmarman.2008.04.004|doi:10.1016/j.indmarman.2009.11.003|doi:10.1016/j.indmarman.2009.12.010|doi:10.1016/j.indmarman.2014.06.013|doi:10.1016/j.jbusres.2011.05.005|doi:10.1080/08853134.2005.10749057|doi:10.1080/08853134.2013.870184|doi:10.1080/08853134.2018.1441718|doi:10.1108/imds-11-2013-0480|doi:10.1108/jrim-04-2015-0027|doi:10.1108/jrim-12-2014-0075|doi:10.1108/jsit-09-2014-0068|doi:10.1111/j.1468-2370.2006.00128.x|doi:10.1300/j366v06n02_06|doi:10.2753/mtp1069-6679190204|doi:10.2753/pss0885-3134280205|doi:10.2753/pss0885-3134280401|doi:10.2753/pss0885-3134300205|doi:10.2753/pss0885-3134330303,0
doi:10.1016/j.indmarman.2004.09.014,49,0.000000,Perceptions of sales force automation: Differences between sales force and management,2005,10.1016/j.indmarman.2004.09.014,Industrial Marketing Management,article,"Gohmann, Stephan F.; Guan, Jian; Barker, Robert M.; Faulds, David J.",backward,crossref|openalex,doi:10.1016/j.bushor.2009.01.001|doi:10.1016/j.indmarman.2004.09.012|doi:10.1016/j.indmarman.2008.04.004|doi:10.1016/j.indmarman.2009.11.003|doi:10.1016/j.indmarman.2014.06.013|doi:10.1108/08858620510576766|doi:10.1108/08858620710722824|doi:10.1111/j.1468-2370.2006.00128.x|doi:10.1287/mnsc.1070.0783|doi:10.1300/j366v06n02_06|doi:10.2753/mtp1069-6679190204|doi:10.2753/pss0885-3134280205,0
doi:10.1016/j.indmarman.2004.09.015,50,0.000000,"Impact of sales force automation on technology-related stress, effort, and technology usage among salespeople",2005,10.1016/j.indmarman.2004.09.015,Industrial Marketing Management,article,"Rangarajan, Deva; Jones, Eli; Chin, Wynne W.",backward,crossref|openalex,doi:10.1016/j.indmarman.2004.09.012|doi:10.1016/j.indmarman.2009.11.003|doi:10.1016/j.indmarman.2013.08.005|doi:10.1016/j.indmarman.2014.06.013|doi:10.1080/08853134.2013.870184|doi:10.1111/j.1468-2370.2006.00128.x|doi:10.1300/j366v06n02_06|doi:10.2753/mtp1069-6679140101|doi:10.2753/mtp1069-6679190204|doi:10.2753/pss0885-3134290203,0
doi:10.1016/j.indmarman.2004.09.016,51,0.000000,Understanding sales force automation outcomes: A managerial perspective,2005,10.1016/j.indmarman.2004.09.016,Industrial Marketing Management,article,"Bush, Alan J.; Moore, Jarvis B.; Rocco, Rich",backward,crossref|openalex,doi:10.1007/978-3-319-10951-0_231|doi:10.1016/j.indmarman.2004.12.002|doi:10.1016/j.indmarman.2009.11.003|doi:10.1016/j.indmarman.2009.12.010|doi:10.1057/palgrave.dbm.3250034|doi:10.1108/08858620710722824|doi:10.1108/jrim-04-2015-0027|doi:10.1108/jsit-09-2014-0068|doi:10.1111/j.1468-2370.2006.00128.x|doi:10.1300/j366v06n02_06|doi:10.2753/mtp1069-6679190204|doi:10.2753/pss0885-3134300205,0
doi:10.1016/j.indmarman.2004.09.017,52,0.000000,"Sales force technology usage—reasons, barriers, and support: An exploratory investigation",2005,10.1016/j.indmarman.2004.09.017,Industrial Marketing Management,article,"Buehrer, Richard E.; Sénécal, Sylvain; Pullins, Ellen Bolman",backward,crossref|openalex,doi:10.1007/978-3-319-10951-0_231|doi:10.1016/j.indmarman.2004.09.012|doi:10.1016/j.indmarman.2009.11.003|doi:10.1016/j.indmarman.2009.12.010|doi:10.1016/j.jbusres.2011.05.005|doi:10.1080/08853134.2013.870184|doi:10.1108/08858620710722824|doi:10.1108/jsit-09-2014-0068|doi:10.1111/j.1468-2370.2006.00128.x|doi:10.1177/0266242609102276|doi:10.1300/j366v06n02_06|doi:10.2753/mtp1069-6679190204,0
doi:10.1016/j.indmarman.2004.09.019,53,0.000000,An empirical investigation of technology acceptance in a field sales force setting,2005,10.1016/j.indmarman.2004.09.019,Industrial Marketing Management,article,"Robinson, Leroy; Marshall, Greg W.; Stamps, Miriam B.",backward,crossref|openalex,doi:10.1016/j.bushor.2014.09.009|doi:10.1016/j.indmarman.2004.09.012|doi:10.1016/j.indmarman.2009.11.003|doi:10.1016/j.indmarman.2014.06.013|doi:10.1016/j.indmarman.2017.06.012|doi:10.1108/08858620710722824|doi:10.1111/j.1468-2370.2006.00128.x|doi:10.1300/j366v06n02_06|doi:10.2753/mtp1069-6679190204|doi:10.2753/pss0885-3134320305|doi:10.2753/pss0885-3134330303,0
doi:10.1016/j.indmarman.2004.09.020,54,0.000000,Moving beyond the direct effect of SFA adoption on salesperson performance: training and support as key moderating factors,2005,10.1016/j.indmarman.2004.09.020,Industrial Marketing Management,article,"Ahearne, Michael; Jelinek, Ronald; Rapp, Adam",backward,crossref|openalex,doi:10.1007/s11747-009-0157-x|doi:10.1016/j.bushor.2013.06.002|doi:10.1016/j.indmarman.2008.04.004|doi:10.1016/j.indmarman.2009.11.003|doi:10.1016/j.indmarman.2009.12.010|doi:10.1016/j.indmarman.2010.05.001|doi:10.1016/j.indmarman.2013.08.005|doi:10.1016/j.indmarman.2014.06.013|doi:10.1016/j.jbusres.2013.05.002|doi:10.1080/1051712x.2011.574252|doi:10.1108/jbim-01-2015-0001|doi:10.1108/jrim-04-2015-0027|doi:10.1108/jrim-12-2014-0075|doi:10.1300/j366v06n02_06|doi:10.2753/mtp1069-6679190204|doi:10.2753/pss0885-3134280205|doi:10.2753/pss0885-3134280401|doi:10.2753/pss0885-3134290203|doi:10.2753/pss0885-3134300202|doi:10.2753/pss0885-3134330303,0
doi:10.1016/j.indmarman.2004.09.021,55,0.000000,Antecedents and consequences of CRM technology acceptance in the sales force,2005,10.1016/j.indmarman.2004.09.021,Industrial Marketing Management,article,"Avlonitis, George J.; Panagopoulos, Nikolaos G.",backward,crossref|openalex,doi:10.1007/s11747-009-0157-x|doi:10.1016/j.indmarman.2004.09.012|doi:10.1016/j.indmarman.2009.11.003|doi:10.1016/j.indmarman.2009.12.010|doi:10.1016/j.indmarman.2015.12.002|doi:10.1016/j.indmarman.2017.06.012|doi:10.1080/08853134.2013.870184|doi:10.1080/14783360701350961|doi:10.1108/08858620710722824|doi:10.1108/imds-11-2013-0480|doi:10.1108/jbim-01-2015-0001|doi:10.1108/jrim-12-2014-0075|doi:10.1111/j.1468-2370.2006.00128.x|doi:10.1177/0266242609102276|doi:10.1287/mnsc.1070.0783|doi:10.2753/mtp1069-6679190204|doi:10.2753/pss0885-3134280205|doi:10.2753/pss0885-3134280401|doi:10.2753/pss0885-3134330205|doi:10.2753/pss0885-3134330303,0
doi:10.1016/j.indmarman.2004.12.002,56,0.000000,Technology improves sales performance—doesn't it?,2005,10.1016/j.indmarman.2004.12.002,Industrial Marketing Management,article,"Honeycutt, Earl D.",backward,crossref|openalex,doi:10.1016/j.indmarman.2013.08.005|doi:10.1016/j.indmarman.2014.06.013|doi:10.1016/j.jbusres.2007.04.007|doi:10.1080/08853134.2018.1557525,0
doi:10.1016/j.indmarman.2005.10.002,57,0.000000,Intraorganizational information and communication technology diffusion: Implications for industrial sellers and buyers,2005,10.1016/j.indmarman.2005.10.002,Industrial Marketing Management,article,"Papastathopoulou, Paulina; Avlonitis, George J.; Panagopoulos, Nikolaos G.",backward,crossref|openalex,doi:10.1108/jbim-01-2015-0001|doi:10.1177/0266242609102276,0
doi:10.1016/j.indmarman.2007.02.005,58,0.000000,Understanding success and failure in customer relationship management,2007,10.1016/j.indmarman.2007.02.005,Industrial Marketing Management,article,"King, Stephen F.; Burgess, Thomas F.",backward,crossref|openalex,doi:10.1016/j.indmarman.2009.11.003|doi:10.1108/14637151211232641|doi:10.1186/s40064-016-3128-y,0
doi:10.1016/j.indmarman.2008.04.004,59,0.000000,Salesperson's innovation resistance and job satisfaction in intra-organizational diffusion of sales force automation technologies: The case of South Korea,2008,10.1016/j.indmarman.2008.04.004,Industrial Marketing Management,article,"Cho, Seong Do; Chang, Dae Ryun",backward,crossref|openalex,doi:10.1016/j.indmarman.2009.11.003|doi:10.1108/jbim-01-2015-0001,0
doi:10.1016/j.indmarman.2008.12.013,60,0.000000,CRM systems and organizational learning: An exploration of the relationship between CRM effectiveness and the customer information orientation of the firm in industrial markets,2009,10.1016/j.indmarman.2008.12.013,Industrial Marketing Management,article,"Stein, Alex; Smith, M. F.",backward,crossref|openalex,doi:10.1016/j.indmarman.2009.11.003|doi:10.1016/j.indmarman.2013.06.004|doi:10.1108/jbim-01-2015-0001,0
doi:10.1016/j.indmarman.2009.11.003,61,0.000000,How does sales force automation influence relationship quality and performance? The mediating roles of learning and selling behaviors,2009,10.1016/j.indmarman.2009.11.003,Industrial Marketing Management,article,"Park, Jeong Eun; Kim, Juyoung; Dubinsky, Alan J.; Lee, Hyunju",backward,crossref|openalex,doi:10.1016/j.indmarman.2013.08.005|doi:10.1016/j.indmarman.2014.06.013|doi:10.1016/j.indmarman.2017.06.012,0
doi:10.1016/j.indmarman.2009.12.010,62,0.000000,The impact of management commitment alignment on salespersons' adoption of sales force automation technologies: An empirical investigation,2010,10.1016/j.indmarman.2009.12.010,Industrial Marketing Management,article,"Cascio, Robert; Mariadoss, Babu John; Mouri, Nacef",backward,crossref|openalex,doi:10.1016/j.indmarman.2013.08.005|doi:10.1080/08853134.2018.1557525|doi:10.1108/jbim-01-2015-0001,0
doi:10.1016/j.indmarman.2010.05.001,63,0.000000,Integrating information technology and marketing: An examination of the drivers and outcomes of e-Marketing capability,2010,10.1016/j.indmarman.2010.05.001,Industrial Marketing Management,article,"Trainor, Kevin J.; Rapp, Adam; Beitelspacher, Lauren Skinner; Schillewaert, Niels",backward,crossref|openalex,doi:10.1016/j.jbusres.2013.05.002|doi:10.1016/j.reimke.2015.07.001|doi:10.4018/ijisss.2016100101,0
doi:10.1016/j.indmarman.2013.03.001,64,0.000000,"Artificial intelligence-based systems applied in industrial marketing: An historical overview, current and future insights",2013,10.1016/j.indmarman.2013.03.001,Industrial Marketing Management,article,"Martínez‐López, Francisco J.; Casillas, Jorge",backward,crossref|openalex,doi:10.1016/j.bushor.2019.12.002|doi:10.1016/j.bushor.2020.01.003|doi:10.1016/j.indmarman.2021.08.006|doi:10.1108/jbim-10-2018-0295|doi:10.1108/tqm-12-2019-0303,0
doi:10.1016/j.indmarman.2013.06.004,65,0.000000,The development and diffusion of customer relationship management (CRM) intelligence in business-to-business environments,2013,10.1016/j.indmarman.2013.06.004,Industrial Marketing Management,article,"Stein, Alex; Smith, M. F.; Lancioni, Richard A.",backward,crossref|openalex,doi:10.1016/j.indmarman.2019.12.005|doi:10.1108/jbim-02-2016-0025,0
doi:10.1016/j.indmarman.2013.08.005,66,0.000000,Salesperson competitive intelligence and performance: The role of product knowledge and sales force automation usage,2013,10.1016/j.indmarman.2013.08.005,Industrial Marketing Management,article,"Mariadoss, Babu John; Milewicz, Chad; Lee, Sangwon; Sahaym, Arvin",backward,crossref|openalex,doi:10.1016/j.indmarman.2017.06.012|doi:10.1080/08853134.2018.1557525|doi:10.1108/jbim-01-2015-0001,0
doi:10.1016/j.indmarman.2014.06.013,67,0.000000,Does information and communication technology improve job satisfaction? The moderating role of sales technology orientation,2014,10.1016/j.indmarman.2014.06.013,Industrial Marketing Management,article,"Limbu, Yam B.; Jayachandran, C.; Babin, Barry J.",backward,crossref|openalex,doi:10.1080/08853134.2018.1557525,0
doi:10.1016/j.indmarman.2015.07.002,68,0.000000,Harnessing marketing automation for B2B content marketing,2015,10.1016/j.indmarman.2015.07.002,Industrial Marketing Management,article,"Järvinen, Joel; Taiminen, Heini",backward,crossref|openalex,doi:10.1016/j.bushor.2020.01.003|doi:10.1016/j.indmarman.2017.06.012|doi:10.1016/j.indmarman.2021.08.006|doi:10.1080/08853134.2018.1557525|doi:10.1108/jbim-10-2018-0295,0
